
Definition
Representing Images on Multiple Layers of Abstraction in Deep Learning
Representing Images on Multiple Layers of Abstraction in Deep Learning
Deep learning is a class of machine learning algorithms that uses multiple layers to progressively extract higher level features from the raw input. For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits or letters or faces.

Overview
Most modern deep learning models are based on artificial neural networks, specifically, Convolutional Neural Networks (CNN)s, although they can also include propositional formulas or latent variables organized layer-wise in deep generative models such as the nodes in deep belief networks and deep Boltzmann machines

In deep learning, each level learns to transform its input data into a slightly more abstract and composite representation. In an image recognition application, the raw input may be a matrix of pixels; the first representational layer may abstract the pixels and encode edges; the second layer may compose and encode arrangements of edges; the third layer may encode a nose and eyes; and the fourth layer may recognize that the image contains a face. Importantly, a deep learning process can learn which features to optimally place in which level on its own. 

The word "deep" in "deep learning" refers to the number of layers through which the data is transformed. More precisely, deep learning systems have a substantial credit assignment path (CAP) depth. The CAP is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For a feedforward neural network, the depth of the CAPs is that of the network and is the number of hidden layers plus one (as the output layer is also parameterized). For recurrent neural networks, in which a signal may propagate through a layer more than once, the CAP depth is potentially unlimited. No universally agreed upon threshold of depth divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. CAP of depth 2 has been shown to be a universal approximator in the sense that it can emulate any function.[14] Beyond that, more layers do not add to the function approximator ability of the network. Deep models (CAP > 2) are able to extract better features than shallow models and hence, extra layers help in learning the features effectively.

Deep learning architectures can be constructed with a greedy layer-by-layer method. Deep learning helps to disentangle these abstractions and pick out which features improve performance.

For supervised learning tasks, deep learning methods eliminate feature engineering, by translating the data into compact intermediate representations akin to principal components, and derive layered structures that remove redundancy in representation.

Deep learning algorithms can be applied to unsupervised learning tasks. This is an important benefit because unlabeled data are more abundant than the labeled data. Examples of deep structures that can be trained in an unsupervised manner are neural history compressors and deep belief networks.

Interpretations
Deep neural networks are generally interpreted in terms of the universal approximation theorem or probabilistic inference.

The classic universal approximation theorem concerns the capacity of feedforward neural networks with a single hidden layer of finite size to approximate continuous functions. In 1989, the first proof was published by George Cybenko for sigmoid activation functions and was generalised to feed-forward multi-layer architectures in 1991 by Kurt Hornik. Recent work also showed that universal approximation also holds for non-bounded activation functions such as the rectified linear unit.


Applications
Automatic speech recognition
Main article: Speech recognition
Large-scale automatic speech recognition is the first and most convincing successful case of deep learning. LSTM RNNs can learn "Very Deep Learning" tasks that involve multi-second intervals containing speech events separated by thousands of discrete time steps, where one time step corresponds to about 10 ms. LSTM with forget gates is competitive with traditional speech recognizers on certain tasks.

The initial success in speech recognition was based on small-scale recognition tasks based on TIMIT. The data set contains 630 speakers from eight major dialects of American English, where each speaker reads 10 sentences. Its small size lets many configurations be tried. More importantly, the TIMIT task concerns phone-sequence recognition, which, unlike word-sequence recognition, allows weak phone bigram language models. This lets the strength of the acoustic modeling aspects of speech recognition be more easily analyzed. The error rates listed below, including these early results and measured as percent phone error rates (PER), have been summarized since 1991.

Who did the first work generally recognized as AI?	Warren McCulloch and Walter Pitts (1943).
What sources was drawn on the formation of the first work generally recognized as AI?	knowledge of the basic physiology and function of neurons in the brain; a formal analysis of propositional logic due to Russell and Whitehead; and Turing's theory of computation.
Who created the Hebbian learning rule?	Donald Hebb (1949).
When the first neural network is built?	1950.
What is the first neural network called?	The SNARC.
Who introduced the Turing test, machine learning, genetic algorithms, and reinforcement learning?	Alan Turing.
Alan Turing prefer what method on creating human-level Al?	He prefer to develop learning algorithms and then teach the machine rather than by programming its intelligence by hand.
Who presented the Logic Theorist (LT)?	Allen Newell and Herbert Simon from Carnegie Tech.
What does General Problem Solver (GPS) is designed for?	GPS was designed from the start to imitate human problem-solving protocols.
Which model was robably the first program to embody the “thinking humanly” approach?	General Problem Solver (GPS).
Who formulate the famous physical symbol system hypothesis?	Allen Newell and Herbert Simon.
What does physical symbol system hypothesis states?	a physical symbol system has the necessary and sufficient means for general intelligent action.
Who constructed the Geometry Theorem Prover?	Herbert Gelernter (1959).
Who, on checkers, thereby disproved the idea that computers can do only what they are told to?	Arthur Samuel
Who defined the high-level language Lisp?	John McCarthy.
Whatlanguage, in 1958, has become the dominant Al programming language for the next 30 years?	Lisp
who discovered a complete theorem-proving algorithm for first-order logic in 1965?	J. A. Robinson's
Which program in 1963 was able to solve closed-form calculus integration problems typical of MIT's first-year college courses?	James Slagle's Saint program
What is the most famous microworld?	The blocks world.
What does the perceptron convergence theorem say?	The theorem says that the learning algorithm can adjust the connection strengths of a perceptron to match any input data, provided such a match exists.
What does the book Preceptrons (1969) mentioned?	Although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing, they could represent very little. 
What is the weak methods in 1969?	a general-purpose search mechanism trying to string together elementary reasoning steps to find complete solutions.
Why weak methods in 1969 are called weak methods?	They do not scale up to large or difficult problem instances.
Why is the DENDRAL program powerful, according to its authors?	It embodied the relevant knowledge of mass spectroscopy not in the form of first principles but in efficient “cookbook recipes” (Feigenbaum et al., 1971). 
Which program is the first successful knowledge-intensive system?	The DENDRAL program.
What does knowledge-intensive system mean?	A system that its expertise derived from large numbers of special-purpose rules.
What is the content of the Heuristic Programming Project (HPP)?	It is to investigate the extent to which the new methodology of expert systems could be applied to other areas.
What function does MYCIN system contribute in?	diagnosing blood infections.
What is the major differences between MYCIN and DENDRAL?	First, unlike the DENDRAL rules, no general theoretical model existed from which the Mycin rules could be deduced. Second, the rules had to reflect the uncertainty associated with medical knowledge.
What calculus of uncertainty does MYCIN incorporated?	certainty factors.
How is the performance of certainty factors in MYCIN?	It seemed (at the time) to fit well with how doctors assessed the impact of evidence on the diagnosis.
Which system is the first successful commercial expert system?	R1.
Where does the first successful commercial expert system began operation?	The Digital Equipment Corporation (McDermott, 1982).
What does robust language understanding requires?	general knowledge about the world and a general method for using that knowledge.
What does Minsky's idea of frames (1975) implies?	assembling facts about particular object and event types and arranging the types into a large taxonomic hierarchy analogous to a biological taxonomy.
What is the content of the “Fifth Generation” project announced by the Japanese government in 1981?	A 10-year plan to build massively parallel, intelligent computers running Prolog. 
What caused the "AI winter"?	Many companies fell by the wayside as they failed to deliver on extravagant promises.
Why, after 1988, it turned out to be difficult to build and maintain expert systems for complex domains?	In part becausethe reasoning methods used by the systems broke down in the face of uncertainty and in part because the systems could not learn from experience.
Who described symbols as the “luminiferous aether of Al”?	Geoff Hinton
What does “luminiferous aether of Al” by Geoff Hinton mean?	A reference to the non-existent medium through which many 19th-century physicists believed that electromagnetic waves propagated.
How is the connectionist models better suited to the messiness of the real world?	It forms internal concepts in a more fluid and imprecise way.
What approach does the brittleness of expert systems led to?	It is an approach incorporating probability rather than Boolean logic, machine learning rather than hand-coding, and experimental results rather than philosophical claims.
What approach dominate the field of speech recognition?	The approach using hidden Markov models (HMMs).
What are the characteristics of HMMs in the feild of speech recognition?	First, they are based on a rigorous mathematical theory. Second, they are generated by a process of training on a large corpus of real speech data. 
Which year is an important year for the connection between Al and other fields?	1988
In 1998, what fields does AI connected to?	statistics, operations research, decision theory, and control theory.
Whose research led to a new acceptance of probability and decision theory in Al?	Judea Pearl's (1988).
What does Pearl's development of Bayesian networks yielded?	It yielded a rigorous and efficient formalism for representing uncertain knowledge as well as practical algorithms for probabilistic reasoning
What major contribution is done by Rich Sutton in 1988?	connecting reinforcement learning to the theory of Markov decision processes (MDPs) developed in the field of operations research.
What kind of advances facilitated the big data phenomenon?	Remarkable advances in computing power and the creation of the World Wide Web.
Who argued that the improvement in performance obtained from increasing the size of the data set by two or three orders of magnitude outweighs any improvement that can be obtained from tweaking the algorithm?	Banko and Brill (2001)
Who developed a clever method for filling in holes in photographs by blending in pixels from similar images?	Hays and Efros (2007).
What does the term deep learning refers to?	It refers to machine learning using multiple layers of simple, adjustable computing elements.
What method do experiments found some success in handwritten digit recognition in the 1990s?	convolutional neural networks.
How does deep network contribute to ALPHAGO's victories over the leading human Go players?	representing the evaluation function.
What is the mean for Ford (2018) interviews of AI experts in the question of when (if ever) will AI systems achieve human-level performance across a broad variety of tasks?	2099
What system does U.S. forces deployed to do automated logistics planning and scheduling for transportation?	 a Dynamic Analysis and Replanning Tool, Dart.
What AI system defeated world chess champion Garry Kasparov in 1997?	Deep Blue
What AI system defeated the world GO champion Ke Jie?	ALPHAGO
What ALPHAZERO can do?	It used no input from humans (except for the rules of the game), and was able to learn through self-play alone to defeat all opponents, human and machine, at Go, chess, and shogi 
What does the deep learning model, which won the 2018 Gordon Bell Prize, do?	It discovers detailed information about extreme weather events that were previously buried in climate data.
Who noted that the “mechanical arts are of ambiguous use, serving as well for hurt as for remedy”?	Francis Bacon
Where does the statement “mechanical arts are of ambiguous use, serving as well for hurt as for remedy” be noted?	The Wisdom of the Ancients (1609)
Who suggested that “First solve Al, then use Al to solve everything else.”?	Demis Hassabis, CEO of Google DeepMind.
How does United Nations define "Lethal Autonomous Weapons"?	weapons that can locate, select, and eliminate human targets without human intervention.
What possible risks we might face on devoloping AI?	Lethal Autonomous Weapons, surveillance and persuasion, biased decision making, impact on employment, safety-critical applications, cybersecurity and so on.
Who reminded that the field of those broader goals and warned that the subfields were in danger of becoming ends in themselves?	Nils Nilsson (1995)
Who was motivated to consider the long-term future of Al after seeing Arthur Samuel's checker-playing program learn to beat its creator?	Norbert Wiener
What does the Kind Midas problem implies?	Midas, a legendary King in Greek mythology, asked that everything he touched should turn to gold, but then regretted it after touching his food, drink, and family members.
What is the definition of agent?	anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
What the word percept refer to?	It refer to the content an agent's sensors are perceiving.
What is an agent's percept sequence?	the complete history of everything the agent has ever perceived.
In general, what does an agent's choice of action at any given instant depend on?	It can depend on its built-in knowledge and on the entire percept sequence observed to date, but not on anything it hasn't perceived.
What can we say mathematically on an agent's behavior?	An agent's behavior is described by the agent function that maps any given percept sequence to an action.
How AI is stucked to consequentialism?	We evaluate an agent's behavior by its consequences.
How can we capture the desirability related to consequentialism of an AI model?	It can be captured by a performance measure that evaluates any given sequence of environment states.
What is the difference on desirability between human and machine?	Human measures it from their point of view, while machine do not have desires and preferences of their own.
Who warns to ensure that “the purpose put into the machine is the purpose which we really desire”?	Norbert Wiener.
How, better, should we design performance measurers for AI?	according to what one actually wants to be achieved in the environment.
What does the King Midas problem inspire us?	We must accept the possibility that we might put the wrong purpose into the machine.
What can the definition of rational depends on?	The performance measure that defines the criterion of success; The agent's prior knowledge of the environment; The actions that the agent can perform; The agent’s percept sequence to date.
What is the difference of omniscience from rationality?	An omniscient agent knows the actual outcome of its actions and can act accordingly; but omniscience is impossible in reality.
What is the relationship between rationality and perfection?	Rationality maximizes expected performance, while perfection maximizes actual performance.
What information gathering means?	Doing actions in order to modify future percepts.
How we will say that an agent lacks autonomy?	An agent relies on the prior knowledge of its designer rather than on its own percepts and learning processes.
What does an autonomous rational agent do?	It should learn what it can to compensate for partial or incorrect prior knowledge.
What is task environments?	They are essentially the “problems” to which rational agents are the “solutions.”
What is PEAS description?	Specify the performance measure, the environment, and the agent's actuators and sensors under the heading of the task environment.
What we can do as the range of task environments that might arise in Al is obviously vast?	We can identify a fairly small number of dimensions along which task environments can be categorized.
What dimensions we can indentify on task environments?	Fully observable vs. partially observable; single-agent vs. multiagent; deterministic vs. nondeterministic; episodic vs. sequential; static vs. dynamic; discrete vs. continuous; known vs. unknown
How can we say a task environment is fully observable?	an agent's sensors give it access to the complete state of the environment at each point in time.
How can we say a task environment is deterministic?	The next state of the environment is completely determined by the current state and the action executed by the agent(s).
What task environment makes an agent need not worry about uncertainty?	fully observable and deterministic.
What is the difference between stochastic and nondeterministic?	We say that a model of the environment is stochastic if it explicitly deals with probabilities (e.g., “there's a 25% chance of rain tomorrow”) and “nondeterministic” if the possibilities are listed without being quantified (e.g., “there's a chance of rain tomorrow”).
How can we say a task environment is episodic?	The agent's experience is divided into atomic episodes, which in each episode the agent receives a percept and then performs a single action. Crucially, the next episode does not depend on the actions taken in previous episodes.
How can we say a task environment is sequential?	The current decision of agent could affect all future decisions.
What are the examples of episodic and sequential task environments?	Many classification tasks are episodic; Chess and taxi driving are sequential.
Why episodic environments are much simpler than sequential environments?	The agent does not need to think ahead.
How can we say a task environment is dynamic for that agent?	The environment can change while an agent is deliberating.
How can we say a task environment is static for that agent?	The environment cannot change while an agent is deliberating.
Why static task envrionments are easy to deal with?	The agent need not keep looking at the world while it is deciding on an action, nor need it worry about the passage of time.
How can we say a task environment is semidynamic?	The environment itself does not change with the passage of time but the agent's performance score does.
What are the examples of dynamic, semidynamic and static task environments?	Taxi driving is clearly dynamic; Chess, when played with a clock, is semidynamic; Crossword puzzles are static.
What are the differences between discrete and continuous task environments?	The state of the environment, to the way time is handled, and to the percepts and actions of the agent.
What are the examples of discrete and continuous task environments?	Chess has a finite number of distinct states (excluding the clock), and a discrete set of percepts and actions; Taxi driving is a continuous-state and continuous-time problem.
What does a known / unknown task environment refers to?	 The agent's (or designer's) state of knowledge about the “laws of physics” of the environment.
How can we say a task environment is known?	The outcomes (or outcome probabilities if the environment is nondeterministic) for all actions are given.
How can we say a task environment is unknown?	The agent will have to learn how it works in order to make good decisions.
What is an example of partially observable and known task environment?	In solitaire card games, I know the rules but am still unable to see the cards that have not yet been turned over.
What is an example of fully observable and unknown task environment?	In a new video game, the screen may show the entire game state but I still don't know what the buttons do until I try them.
What kind of task environment should be the hardest case?	partially observable, multiagent, nondeterministic, sequential, dynamic, continuous, and unknown.
What is an agent function?	The mapping from percepts to actions.
What is the agent architecture?	A program will run on some sort of computing device with physical sensors and actuators
